Prot_ID	Secretion_Signal	TargetP_Location	CAMPR3_SVM	CAMPR3_RF	XXX	CAMPR3_ANN	CAMPR3_DA	iAMPred_AntiBacterial	iAMPred_AntiViral	iAMPred_AntiFungal	DBAASP	SecretomeP
EmuJ_001081300.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.075	0.509	0.166	0	1
EmuJ_001136500.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.579	0.573	0.312	0	1
EmuJ_001136600.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.878	0.870	0.868	0	0
EmuJ_001136700.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.960	0.920	0.898	0	0
EmuJ_001136800.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.579	0.573	0.312	0	1
EmuJ_001136900.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.979	0.951	0.985	0	0
EmuJ_001137000.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.490	0.709	0.483	0	1
EmuJ_001137100.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.989	0.982	0.976	0	0
EmuJ_001137200.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.973	0.918	0.952	1	0
EmuJ_001137300.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.966	0.958	0.931	0	1
EmuJ_001137400.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.981	0.933	0.994	0	0
EmuJ_001175800.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.125	0.250	0.068	0	0
EmuJ_001189400.1	SP(Sec/SPI)	S	1	1	XXX	0	1	0.012	0.254	0.060	0	1
EmuJ_001201900.1	SP(Sec/SPI)	S	1	1	XXX	1	1	0.821	0.753	0.859	1	0
