Prot_ID	CAMPR3_SVM	CAMPR3_RF	CAMPR3_ANN	CAMPR3_DA	iAMPred	DBAASP	SignalP	SecretomeP	TargetP	TMHMM
HmN_003033520	0	1	0	0	0	0	0	0	0	0
HmN_000544400	1	1	0	1	0	0	0	0	0	0
HmN_003028310	0	0	0	0	0	0	0	0	0	1
HmN_002037400	1	1	0	1	1	0	1	0	0	0
HmN_000121400	1	1	0	1	0	0	0	0	0	0
HmN_000467900	0	0	0	0	1	0	0	0	0	1
HmN_003037990	1	1	1	1	1	0	0	0	0	0
HmN_000169800	0	1	0	1	0	0	0	0	0	0
HmN_003000740	1	1	1	1	1	1	1	0	0	0
HmN_003018250	0	0	0	0	0	0	0	0	0	1
HmN_003046130	1	1	0	0	1	0	1	0	0	0
HmN_002137500	1	1	0	1	1	1	0	0	0	0
HmN_003033890	0	0	0	0	0	0	0	1	0	0
HmN_003038160	1	1	0	1	1	0	0	0	0	0
HmN_000579100	0	0	0	0	0	0	0	0	0	0
HmN_000879100	1	1	0	0	1	0	0	0	0	0
HmN_000007600	1	1	1	1	1	1	0	0	0	0
HmN_003004120	1	1	0	1	1	0	0	0	0	0
HmN_003021300	1	1	1	1	1	0	0	0	0	1
HmN_000439300	1	1	0	1	0	0	1	0	0	1
HmN_003039230	1	1	1	1	1	0	1	0	0	0
HmN_003006680	0	0	0	0	1	0	0	0	0	0
HmN_003008240	1	1	0	0	0	0	0	0	0	1
HmN_000860300	0	1	0	0	0	0	0	0	0	0
HmN_003030490	0	0	0	0	0	1	0	0	0	0
HmN_003027490	1	1	0	0	0	0	0	0	0	0
HmN_002254100.2	1	1	1	1	1	0	0	0	0	0
HmN_003008700	0	0	0	0	0	0	0	0	0	0
HmN_002210900	0	0	0	0	0	0	0	0	0	0
HmN_000691400	0	1	0	0	0	0	1	0	0	0
HmN_002037500	1	1	0	0	1	0	0	0	0	1
HmN_000335500	0	1	0	1	1	0	0	1	0	0
HmN_002295600	0	1	0	0	1	0	0	1	0	0
HmN_002262800	1	1	0	1	1	0	0	0	0	0
HmN_000845000	0	1	0	0	1	0	0	0	0	0
HmN_003048690	1	1	0	0	0	0	0	1	0	0
HmN_000888800	1	1	0	1	0	0	0	0	0	0
HmN_000760600	1	1	0	0	1	1	0	0	0	0
HmN_003034430	1	0	0	0	1	0	0	0	0	1
HmN_003003230	0	1	0	0	0	0	1	0	0	0
HmN_002025100	0	1	0	0	1	0	1	0	0	0
HmN_003049440	0	1	0	0	1	0	0	0	0	1
HmN_000321600	1	1	0	1	1	0	0	0	0	0
HmN_003046210	0	0	0	0	0	0	1	0	0	0
HmN_000097000	0	0	0	0	1	0	0	0	0	1
HmN_003041590	0	0	0	0	1	0	0	0	0	0
HmN_000150100	1	1	1	1	1	1	0	0	0	0
HmN_000893200	1	1	0	1	1	1	1	0	0	0
HmN_003003870	0	1	0	1	1	0	0	0	0	0
HmN_000670700	1	0	0	0	1	0	0	0	0	0
HmN_000578800	1	1	1	1	1	0	0	0	0	0
HmN_000057500	1	1	0	1	1	0	0	0	0	1
HmN_002040000	1	1	0	0	0	0	1	0	0	0
HmN_000439400	0	0	0	0	1	0	0	0	0	0
HmN_000304100	0	0	0	0	0	0	0	0	0	0
HmN_000129100	1	1	0	1	1	0	0	0	0	0
HmN_000486600	1	1	1	1	1	0	0	1	0	0
HmN_002156000	0	1	0	0	1	1	0	0	0	0
HmN_000320700	0	0	0	0	0	1	0	0	0	0
HmN_002029500	1	1	0	0	1	0	1	0	0	0
HmN_002152800	1	1	0	0	1	1	0	0	0	0
HmN_003036760	1	1	0	1	1	0	1	0	0	0
HmN_003046190	1	1	0	0	1	0	1	0	0	0
HmN_003009240	1	1	1	1	1	0	0	0	0	0
HmN_002118500	1	1	1	1	1	1	0	0	0	1
HmN_002057000	0	1	0	0	1	0	0	0	0	0
HmN_002229200	0	0	0	0	1	1	0	0	0	0
HmN_000288500	0	1	0	1	0	0	0	0	0	0
HmN_003040450	1	1	0	1	1	1	0	0	0	1
HmN_000171300	1	1	0	1	1	0	0	0	0	1
HmN_000982600	0	1	0	0	1	0	1	0	0	0
HmN_000335300	1	1	0	1	1	0	1	0	0	0
HmN_002061700	1	1	1	1	1	0	1	1	0	0
HmN_003040440	1	1	0	0	1	1	0	0	0	1
HmN_003004110	1	1	1	1	1	0	1	1	0	0
HmN_000107100	1	1	0	1	0	0	0	0	0	0
HmN_003008090	1	1	0	0	0	0	0	0	0	1
HmN_000481300.2	1	1	1	1	1	0	0	0	0	0
HmN_000698200	1	1	0	0	0	0	0	0	0	0
HmN_000127300	1	1	0	1	1	0	1	0	0	1
HmN_003005350	1	1	0	0	0	0	0	0	0	0
HmN_003034510	0	1	0	0	1	0	0	0	0	0
HmN_000282800	0	0	0	0	1	0	0	0	0	0
HmN_003021210	1	1	1	1	1	0	0	0	0	0
HmN_000166500	1	1	0	1	1	0	1	0	0	0
HmN_002106700	0	1	0	0	1	0	0	0	0	0
HmN_000956000	1	1	1	1	1	0	1	0	0	0
HmN_003039250.1	1	1	0	0	1	0	0	0	0	0
HmN_003039250.2	1	1	0	0	1	0	0	0	0	0
HmN_003039250.3	1	1	0	0	0	0	0	0	0	0
HmN_003004990	0	1	0	0	1	0	0	0	0	0
HmN_002031500	1	1	0	1	1	1	0	0	0	0
HmN_003042100	1	1	0	1	1	0	1	0	0	1
HmN_002140400	0	0	0	0	1	0	0	0	0	0
HmN_003027230	1	1	0	0	0	0	0	0	0	0
HmN_003041420	1	1	0	1	1	0	0	0	0	0
HmN_000866400	0	1	0	0	0	0	1	1	0	0
HmN_000024600	0	1	0	0	0	0	0	1	0	1
HmN_001011800	1	1	0	1	1	0	0	0	0	0
HmN_000777000	1	1	1	1	1	0	0	0	0	0
HmN_003015940	0	0	0	0	0	0	0	0	0	0
HmN_000256000	1	0	0	0	1	0	0	0	0	0
HmN_000078400	1	1	0	1	1	0	0	0	0	0
HmN_000056500	1	0	0	0	0	1	0	0	0	0
HmN_000720900	1	1	1	1	1	1	0	0	0	0
HmN_000700000	1	1	0	0	1	0	0	0	0	0
HmN_003040410	0	0	0	0	1	0	1	0	0	0
HmN_003014760	1	1	0	1	1	0	0	0	0	0
HmN_000620100	1	1	1	1	1	0	1	0	0	1
HmN_000022700	0	1	0	0	1	0	0	0	0	0
HmN_000814300	1	1	0	1	1	0	0	0	0	0
HmN_000321500	0	1	0	0	0	0	0	0	0	0
HmN_000282700	0	0	0	0	1	0	0	0	0	0
HmN_003026460	1	1	0	1	0	0	0	0	0	0
HmN_003021200	1	1	0	1	1	0	0	0	0	0
HmN_003006020	1	1	1	1	1	0	0	0	0	0
HmN_000162300.2	0	1	0	0	1	0	0	0	0	0
HmN_000824700	1	1	1	0	1	0	0	0	0	0
HmN_003036750	0	1	0	0	0	0	0	0	0	0
HmN_000255000	1	1	0	1	1	0	0	0	0	0
HmN_003009570	0	0	0	0	1	0	0	0	0	0
HmN_003008950	1	1	0	1	1	0	0	0	0	0
HmN_000106200.1	1	1	0	0	1	0	0	0	0	0
HmN_003044230	0	1	0	0	0	0	1	0	0	1
HmN_003015180	1	1	0	1	0	0	0	0	0	0
HmN_003042280	0	0	0	1	1	0	1	1	0	0
HmN_002289200	1	1	0	0	0	0	1	1	0	1
HmN_003004060	1	1	0	1	1	0	0	0	0	0
HmN_000148600	1	1	0	0	0	0	1	1	0	0
HmN_003043730	1	1	0	1	0	0	0	0	0	0
HmN_003004390	0	0	0	0	0	0	0	0	0	0
HmN_003041740	0	0	0	0	1	0	0	1	0	0
HmN_002066400	1	0	1	0	0	1	0	0	0	0
HmN_000725400	0	0	0	0	1	1	0	0	0	0
HmN_000556900.4	1	1	1	1	1	1	0	0	0	0
HmN_000283000	1	1	0	1	1	0	0	0	0	0
HmN_002048000	0	1	0	1	1	0	0	0	0	0
HmN_000491300	1	1	0	1	1	0	1	0	0	0
HmN_000732600	1	1	0	0	1	0	0	0	0	0
HmN_002201500	1	1	1	1	1	0	1	0	0	0
HmN_003026590	1	1	0	0	1	0	0	0	0	0
HmN_003036440	1	1	0	0	0	0	0	0	0	0
HmN_000503700	0	1	0	0	0	0	0	0	0	0
HmN_000497400	1	1	0	0	0	0	0	0	0	0
HmN_000326800	0	0	0	0	0	0	0	0	0	0
HmN_000274900	0	0	0	0	0	0	0	0	0	0
HmN_003003540	0	0	1	0	1	0	0	0	0	0
HmN_003039490	0	1	0	1	0	1	0	1	0	0
HmN_003008230	0	1	0	0	0	0	0	0	0	0
HmN_003050692	1	1	0	0	1	0	0	0	0	1
HmN_003047420	0	0	0	0	1	0	1	1	0	0
HmN_003036740	0	1	0	0	0	0	0	0	0	0
HmN_003006990	0	1	0	0	0	0	0	0	0	0
HmN_003033320	1	1	0	0	1	0	0	0	0	0
HmN_003035520	0	1	0	0	0	0	0	0	0	0
HmN_000176900	1	1	1	1	1	0	1	0	0	1
HmN_000501000.2	0	1	0	0	0	0	0	0	0	0
HmN_003037440	0	0	0	0	0	0	0	0	0	0
HmN_003007110	0	1	0	0	0	0	0	0	0	1
HmN_003043140	0	0	0	0	0	1	0	0	0	0
HmN_003008140	0	1	0	0	0	0	0	0	0	0
HmN_002056600	0	0	0	0	0	0	0	0	0	0
HmN_000176300	1	1	1	1	1	0	0	0	0	0
HmN_002048800	0	0	0	0	0	0	0	0	0	0
HmN_000116700	1	1	0	1	1	0	0	0	0	1
HmN_002204000	0	0	0	0	0	0	1	0	0	1
HmN_000854800	0	0	0	0	1	0	0	0	0	0
HmN_002164100	0	1	0	0	1	1	0	0	0	0
HmN_000716900	0	0	0	0	0	0	0	0	0	0
HmN_003007980	0	1	1	1	1	0	0	0	0	0
HmN_000893300	1	1	0	1	1	1	1	0	0	0
HmN_003023070	1	1	0	1	1	0	0	0	0	0
HmN_000744800	1	1	0	1	1	0	0	0	0	0
HmN_003044460	0	1	0	0	1	0	0	0	0	0
HmN_000282000	0	0	0	0	0	0	0	0	0	0
HmN_003034850	0	1	0	0	0	0	0	0	0	0
HmN_000055200	0	0	0	0	1	0	0	0	0	0
HmN_000526300	0	0	1	0	1	0	0	0	0	0
HmN_000117400	0	1	0	0	0	0	0	1	0	0
HmN_003030350	1	1	0	0	0	0	0	0	0	0
HmN_003038000	0	0	0	0	0	0	0	0	0	1
HmN_003013140	0	0	0	0	0	0	1	0	0	1
HmN_003034680	0	0	0	0	0	0	0	0	0	0
HmN_003004550	1	1	0	1	0	0	0	0	0	0
HmN_000854400	0	1	0	0	1	0	0	0	0	0
HmN_000614500.2	0	1	0	1	0	0	0	0	0	0
HmN_003009150	1	1	1	1	1	0	0	0	0	0
HmN_000173300	1	1	0	1	0	0	0	0	0	0
HmN_000929800	0	0	0	0	0	0	0	0	0	0
HmN_002242800	0	0	0	0	0	1	0	0	0	0
HmN_000383900	0	1	0	0	0	0	0	0	0	1
HmN_000296100	1	1	0	1	1	0	0	0	0	0
HmN_003006960	0	1	0	0	1	0	0	0	0	0
HmN_000609500	1	1	0	1	1	0	0	0	0	1
HmN_002043700	1	1	1	1	1	1	1	0	0	0
HmN_003044350	1	1	0	0	1	0	0	0	0	0
HmN_000802800	1	1	0	1	1	0	0	0	0	0
HmN_003029290	1	1	0	1	1	0	1	1	0	0
HmN_003037360	1	1	0	1	1	0	1	0	0	0
HmN_003013150	0	0	0	0	0	0	0	0	0	0
HmN_000833800	1	1	0	1	1	0	0	0	0	0
HmN_000454800	1	1	0	1	1	0	0	0	0	1
HmN_003008210	1	1	0	1	0	0	0	0	0	0
HmN_003003640	0	0	0	0	0	0	0	0	0	1
HmN_003039190	1	1	0	1	1	0	0	0	0	0
HmN_003038190	1	1	0	1	1	0	0	0	0	0
HmN_003008520	1	1	0	1	1	0	0	0	0	0
HmN_000672100	0	0	0	0	0	0	1	0	0	0
HmN_000047600	1	1	0	1	1	0	0	0	0	0
HmN_000369300	0	0	0	0	1	0	0	0	0	0
HmN_000497300	0	0	0	0	0	0	1	1	0	0
HmN_000884200	0	0	0	0	1	1	0	0	0	0
HmN_003032370	1	1	0	0	0	0	0	0	0	0
HmN_000160400	0	1	0	1	0	0	0	0	0	1
HmN_002088700	0	0	0	0	0	0	1	1	0	0
HmN_002017200	0	1	0	0	0	0	1	1	0	1
HmN_000771000	1	1	0	0	1	0	0	0	0	0
HmN_003000890	1	1	0	1	1	0	0	0	0	0
HmN_003046240	0	0	0	0	0	0	1	0	0	0
HmN_000447000	0	0	0	0	0	0	1	0	0	0
HmN_003020740	0	0	0	0	0	0	0	0	0	0
HmN_000081000	1	1	0	0	1	0	1	0	0	1
HmN_002149300	0	1	0	0	1	0	0	0	0	0
HmN_000458100.1	0	0	0	0	0	1	0	0	0	0
HmN_003034490	1	1	1	1	1	0	0	0	0	0
HmN_002031400	1	0	1	1	1	0	0	0	0	1
HmN_003029040	0	0	0	0	1	1	0	0	0	0
HmN_000423200	1	1	1	1	1	0	0	0	0	1
HmN_000675700.1	1	1	0	1	1	0	1	1	0	0
HmN_003000390	0	0	0	0	0	0	0	0	0	0
HmN_000212550	0	0	0	0	0	0	1	0	0	1
HmN_003037430	0	0	0	0	0	0	0	0	0	0
HmN_000765800	1	1	0	1	1	0	0	0	0	1
HmN_000893100	0	1	0	0	1	1	1	1	0	0
HmN_000230900	0	1	0	0	0	0	0	0	0	1
HmN_000693900	1	1	1	1	1	1	0	0	0	0
HmN_002023600	1	1	0	1	1	0	1	0	0	0
HmN_000380100	1	1	0	1	1	0	1	0	0	1
HmN_003043550	0	1	1	1	0	0	0	0	0	0
HmN_002295700	1	1	0	0	0	0	0	0	0	0
HmN_003006000	1	1	1	1	1	0	0	0	0	0
HmN_002190500	0	0	0	0	1	0	0	0	0	0
HmN_002032700	1	1	0	0	1	1	0	0	0	0
HmN_000421600	1	1	0	1	0	0	0	0	0	0
HmN_003027530	1	1	0	1	0	0	0	0	0	0
HmN_003023480	0	0	0	0	0	0	0	0	0	0
HmN_003035740	0	0	0	0	0	0	0	0	0	0
HmN_003013380	0	0	0	0	0	0	1	0	0	0
HmN_002202200	1	1	0	1	0	0	0	0	0	0
HmN_002086000	0	0	0	0	1	0	0	0	0	0
HmN_000282900	0	0	0	0	0	0	0	0	0	0
HmN_003016090	0	0	0	0	0	1	0	0	0	0
HmN_000892900	1	1	0	1	1	0	0	0	0	0
HmN_000715100	1	1	0	1	1	1	0	0	0	0
HmN_003013340	0	0	0	0	0	0	1	0	0	0
HmN_002035200	0	1	0	0	1	0	0	0	0	0
HmN_003031340	1	1	0	1	1	0	0	0	0	0
HmN_000900100	1	1	0	1	1	0	0	0	0	0
HmN_003043130	0	0	0	0	0	0	0	0	0	0
HmN_000812800	1	1	0	1	0	0	0	0	0	0
HmN_000324800	0	1	0	0	1	1	1	0	0	1
HmN_003013350	0	0	0	0	0	0	1	0	0	0
HmN_003047660	0	1	0	0	0	0	1	0	0	0
HmN_000275600	1	1	0	1	1	0	0	0	0	0
HmN_000228300	0	1	0	0	0	0	1	0	0	1
HmN_002223100	1	1	1	1	1	0	0	0	0	0
HmN_003033260	1	1	0	1	1	0	0	0	0	0
HmN_002207100	0	0	0	0	1	0	0	0	0	0
HmN_000275700	0	1	0	0	1	0	0	0	0	0
HmN_000777400	1	1	0	0	1	0	0	0	0	0
HmN_003036470	1	1	0	0	0	0	0	0	0	0
HmN_000275500	0	1	0	0	1	1	0	0	0	0
HmN_000282500	1	1	0	0	1	0	0	0	0	0
HmN_002203900	1	1	0	0	1	0	0	0	0	0
HmN_003009910	0	0	0	0	1	0	0	0	0	0
HmN_003006970	0	1	0	0	1	0	0	0	0	1
HmN_000107600	0	0	0	1	1	1	0	0	0	0
HmN_000462100	1	1	0	1	0	1	1	0	0	1
HmN_000964900	0	0	0	0	0	0	0	0	0	1
HmN_000257400	0	1	0	1	0	0	1	0	0	0
HmN_003048530	1	1	0	1	1	0	0	1	0	0
HmN_002032500	0	0	0	0	0	0	0	0	0	1
HmN_003039170	0	1	0	1	1	0	0	0	0	0
HmN_003003340	0	1	0	0	0	0	1	0	0	0
HmN_000079400	0	0	0	0	0	0	0	1	0	1
HmN_000746400	0	0	0	1	1	1	0	0	0	0
HmN_002023700	0	0	0	0	1	0	0	0	0	0
HmN_003033250	0	1	0	0	1	0	1	0	0	0
HmN_002042300	0	1	0	0	1	0	1	0	0	1
HmN_000236800	1	1	0	0	1	0	0	0	0	0
HmN_003022260	1	1	0	0	1	1	0	0	0	1
HmN_000575400	0	1	0	1	0	0	1	0	0	1
HmN_000001300	0	0	0	0	0	0	0	0	0	0
HmN_000336000	0	0	0	0	1	0	1	1	0	1
HmN_003012780	1	1	0	0	1	1	0	0	0	0
HmN_002026800	0	0	0	0	0	1	0	0	0	0
HmN_003029190	1	1	0	1	1	0	0	0	0	0
HmN_000321200	1	1	0	0	0	0	0	0	0	0
HmN_003027450	0	1	0	0	0	0	0	0	0	0
HmN_000103200	0	0	0	0	0	0	0	0	0	0
HmN_003027640	1	1	0	0	1	0	0	0	0	1
HmN_003004460	1	1	1	1	1	0	0	0	0	0
HmN_002115000	0	0	0	0	1	0	0	0	0	0
HmN_000751300	1	1	1	1	1	0	0	1	0	0
HmN_003034840	1	1	0	0	0	0	0	0	0	0
HmN_000956300	1	1	1	1	1	0	1	0	0	0
HmN_003016100	1	0	0	0	0	0	0	0	0	1
HmN_003031350	1	1	0	1	1	0	0	0	0	0
HmN_002020500	1	1	0	1	1	0	1	0	0	0
HmN_000735400.3	0	0	0	0	0	0	0	0	0	0
HmN_000523600	1	1	0	0	1	0	0	0	0	0
HmN_002112600.2	1	1	0	0	1	0	0	0	0	1
HmN_003034240	0	0	0	0	0	0	1	0	0	0
HmN_000563900	1	1	0	0	0	1	0	0	0	0
HmN_003002950	0	0	0	0	1	0	0	0	0	1
HmN_000933600	0	1	0	0	1	0	0	0	0	0
HmN_003036550	1	1	0	1	0	0	0	0	0	0
HmN_003026870	1	1	0	0	1	0	0	0	0	0
HmN_002168000	0	0	0	0	1	0	0	0	0	0
HmN_003036520	0	0	0	0	0	0	0	0	0	1
HmN_000711300	0	1	0	0	0	0	0	0	0	1
HmN_000907200	0	0	0	0	0	0	0	0	0	0
HmN_003048730	1	1	1	1	1	0	1	0	0	1
HmN_003020180	1	1	0	0	1	0	0	0	0	0
HmN_002127000	0	0	0	0	0	0	1	1	0	0
HmN_003001290	0	0	0	0	0	0	0	0	0	0
HmN_003001310	0	1	0	0	0	0	0	0	0	0
HmN_000056800	0	1	0	0	1	0	0	0	0	0
HmN_000977400	0	0	0	0	0	0	0	0	0	0
HmN_000677500	1	1	0	1	0	0	0	0	0	0
HmN_003003050	0	0	0	0	0	0	0	0	0	0
HmN_000692700	1	1	1	1	1	1	0	0	0	0
HmN_003046170.3	1	1	0	0	1	0	1	1	0	0
HmN_003028210	1	1	0	1	0	0	0	0	0	1
HmN_002016700	0	1	0	0	0	0	0	0	0	1
HmN_002204500	1	1	1	1	1	0	1	1	0	0
HmN_003040360	0	1	0	0	0	0	0	0	0	0
HmN_000800300	1	1	1	1	1	1	1	0	0	1
HmN_003030400	1	1	0	0	0	0	0	0	0	0
HmN_003044360	1	1	0	0	1	0	0	0	0	0
HmN_003007130	0	0	0	0	0	0	0	0	0	0
HmN_003039410	0	0	0	0	0	0	0	0	0	0
HmN_000437500	1	1	0	1	1	1	0	0	0	0
HmN_000557400	1	1	0	1	1	0	0	0	0	1
HmN_003027740	1	1	1	1	0	0	0	0	0	0
HmN_003008270	0	1	0	0	0	0	0	0	0	0
HmN_003004350	0	0	0	0	0	0	0	0	0	0
HmN_003026420	1	1	0	1	0	0	0	0	0	0
HmN_003039210	0	1	0	0	1	0	0	0	0	0
HmN_000234350	0	0	1	0	1	0	1	1	0	0
HmN_000322100	0	1	0	0	0	0	0	0	0	0
HmN_002285600	0	0	0	0	0	0	0	0	0	0
HmN_003048830	0	1	0	0	0	0	0	0	0	0
HmN_003048160	1	1	0	1	0	0	0	0	0	0
HmN_000069000	0	0	0	0	0	1	1	1	0	1
HmN_003045320	0	0	0	0	1	0	1	1	0	0
HmN_000056300	1	1	0	1	1	1	1	0	0	0
HmN_000514300	0	0	0	0	0	0	1	0	0	0
HmN_000653700.1	0	1	0	0	1	0	0	1	0	0
HmN_003023820	0	0	0	0	1	0	0	0	0	0
HmN_000377100	1	1	0	1	1	0	1	0	0	0
HmN_003042260	0	0	0	1	1	0	1	1	0	0
HmN_003007150	0	0	0	0	0	0	0	0	0	0
HmN_000760500	1	1	0	1	1	1	0	0	0	0
HmN_000575500	0	1	0	0	1	0	0	0	0	0
HmN_002163700	1	1	0	1	1	0	0	0	0	0
HmN_003050460.1	1	1	0	1	1	0	0	0	0	0
HmN_003050460.2	0	0	0	0	1	1	0	0	0	0
HmN_000970000	1	1	0	0	0	0	0	0	0	0
HmN_002174900	1	1	1	1	1	0	0	0	0	1
HmN_000507300	0	0	0	0	1	0	0	0	0	0
HmN_003028890	1	1	0	1	1	0	1	0	0	1
HmN_000308600	1	1	1	1	1	1	0	0	0	0
HmN_002221000	1	1	1	1	1	1	0	0	0	0
HmN_000760700	0	1	0	0	1	1	0	0	0	0
HmN_003008480	0	1	0	0	1	1	0	0	0	1
HmN_000982200	0	1	0	0	1	0	0	0	0	0
HmN_003044370	1	1	0	0	1	0	0	0	0	0
HmN_000831600	1	1	0	1	1	1	0	0	0	1
HmN_002097700	0	1	0	0	1	0	0	0	0	1
HmN_003034750	1	1	0	1	1	0	0	0	0	1
HmN_003044490	0	1	0	0	0	0	0	0	0	0
HmN_003008190	0	1	0	0	0	0	0	0	0	0
HmN_003006260	0	0	0	0	0	0	1	0	0	0
HmN_000369200	0	1	0	0	1	0	0	1	0	0
HmN_003008180	1	1	0	0	0	0	0	0	0	1
HmN_000760800	0	1	0	0	1	0	0	0	0	0
HmN_003038900	1	1	1	1	1	0	1	0	0	1
HmN_000174300	1	1	1	1	1	0	0	0	0	0
HmN_002263100	0	0	0	1	0	0	0	0	0	0
HmN_000789800	1	1	0	1	1	0	0	0	0	0
HmN_000125000	0	0	0	0	0	0	1	0	0	1
HmN_000617000	1	1	0	0	1	1	0	0	0	0
HmN_002068500	1	1	0	1	1	0	0	0	0	0
HmN_000986600	1	1	0	1	1	0	0	0	0	0
HmN_000266700	1	1	1	1	1	1	0	0	0	0
HmN_003034740	1	1	0	1	1	0	0	0	0	0
HmN_000122800	0	1	0	0	0	0	1	0	0	0
HmN_000401000	0	1	0	0	0	0	0	1	0	0
HmN_000575000	0	0	0	0	1	0	0	0	0	0
HmN_000865400	1	1	0	0	0	0	0	0	0	0
HmN_003026660	0	1	0	0	1	0	0	0	0	0
HmN_000191000	0	1	0	0	0	1	0	0	0	0
HmN_000371800	0	0	0	0	1	0	1	0	0	1
HmN_003033590	1	1	0	1	1	0	0	0	0	1
HmN_003015870	0	1	0	0	0	0	0	0	0	0
HmN_002227900	1	1	0	0	1	0	0	0	0	1
HmN_003022700	0	0	1	0	0	0	0	0	0	0
HmN_003049630	0	1	0	1	1	0	0	0	0	0
HmN_000535000	1	1	0	1	1	0	0	0	0	0
HmN_003034970	0	0	0	0	0	0	0	0	0	0
HmN_003042080	1	1	0	1	1	0	1	1	0	1
HmN_003031040	1	1	1	1	1	0	0	1	0	0
HmN_003007540	0	1	0	0	1	0	1	1	0	0
HmN_002271600	1	1	0	1	1	0	1	0	0	0
HmN_000566900	0	1	0	0	0	0	0	1	0	0
HmN_003007310	0	1	0	0	1	0	1	1	0	0
HmN_003013130	0	0	0	0	0	0	1	0	0	0
HmN_002018900	0	0	0	0	0	0	1	0	0	1
HmN_003013230	0	1	0	0	1	0	1	0	0	0
HmN_003031130	0	0	0	0	0	0	0	0	0	0
HmN_003032690	0	0	0	0	0	0	0	0	0	0
HmN_000756200	1	1	0	0	1	0	1	0	0	1
HmN_002063900	0	1	0	0	1	0	0	0	0	0
HmN_002065400	0	0	0	0	1	0	0	0	0	0
HmN_002067500	1	1	0	1	1	0	1	0	0	0
HmN_002149200	1	1	0	1	0	0	0	0	0	0
HmN_002190600	0	0	0	0	0	1	0	0	0	1
HmN_003016240	1	1	0	1	1	0	0	0	0	0
HmN_003048720	0	0	0	1	0	0	1	0	0	1
HmN_003038800	0	1	0	1	1	0	0	0	0	0
HmN_002292000	0	1	0	0	0	0	0	0	0	0
HmN_000060300	1	1	0	1	1	0	0	0	0	1
HmN_000668200	1	1	1	1	1	0	1	0	0	0
HmN_003026850	1	1	0	1	1	0	0	0	0	0
HmN_000899700	1	0	1	0	0	1	0	1	0	0
HmN_003008710	1	1	0	1	0	1	0	0	0	0
HmN_002066000	0	0	0	0	0	0	0	0	0	0
HmN_000503600.1	1	1	0	0	0	0	0	0	0	0
HmN_000503600.2	1	1	0	1	0	0	0	0	0	0
