Prot_ID	Secretion_Signal	TargetP_Location	CAMPR3_SVM	CAMPR3_RF	XXX	CAMPR3_ANN	CAMPR3_DA	iAMPred_AntiBacterial	iAMPred_AntiViral	iAMPred_AntiFungal	DBAASP	SecretomeP
EgrG_000153800	OTHER	_	0	0	XXX	0	0	0.193	0.376	0.096	0	0
EgrG_000940600	OTHER	_	0	1	XXX	0	0	0.566	0.641	0.538	1	0
EgrG_001025200	OTHER	S	0	0	XXX	0	0	0.127	0.388	0.121	0	0
EgrG_000066400	OTHER	_	1	1	XXX	1	1	0.092	0.251	0.101	0	0
EgrG_000785200	OTHER	M	0	0	XXX	0	0	0.514	0.718	0.509	1	0
EgrG_001136700	SP(Sec/SPI)	S	0	0	XXX	0	0	0.056	0.371	0.189	0	1
EgrG_002017500	OTHER	_	0	0	XXX	0	0	0.021	0.105	0.024	0	0
EgrG_000635600	OTHER	_	0	0	XXX	0	0	0.024	0.093	0.012	0	0
EgrG_001030000	OTHER	M	1	1	XXX	1	1	0.731	0.900	0.712	0	0
EgrG_000054100	OTHER	_	0	0	XXX	0	0	0.026	0.115	0.033	0	0
EgrG_000820000	OTHER	_	1	1	XXX	0	1	0.216	0.509	0.146	1	1
EgrG_000078200	OTHER	S	0	0	XXX	0	0	0.240	0.470	0.124	0	0
EgrG_001156000	OTHER	S	0	0	XXX	0	0	0.500	0.682	0.279	0	0
EgrG_000974200	SP(Sec/SPI)	S	1	1	XXX	0	1	0.867	0.867	0.623	0	0
EgrG_000173100	OTHER	_	0	1	XXX	0	0	0.500	0.626	0.469	0	0
EgrG_000343300	OTHER	_	1	0	XXX	1	0	0.474	0.594	0.891	0	0
EgrG_001137500	OTHER	M	1	1	XXX	1	1	0.937	0.774	0.858	0	0
EgrG_000901200	OTHER	M	0	0	XXX	0	0	0.009	0.152	0.052	0	0
EgrG_000944400	OTHER	_	1	0	XXX	0	0	0.036	0.174	0.092	0	0
EgrG_000055800	OTHER	S	0	0	XXX	0	0	0.028	0.251	0.036	0	0
EgrG_000068200	OTHER	_	1	1	XXX	0	1	0.253	0.567	0.259	0	1
EgrG_000995600	OTHER	_	0	0	XXX	0	0	0.051	0.128	0.099	0	0
EgrG_002031700	OTHER	_	1	1	XXX	0	1	0.050	0.200	0.111	0	0
EgrG_001071400	OTHER	_	0	0	XXX	0	0	0.500	0.537	0.500	0	1
EgrG_000082700	OTHER	M	1	1	XXX	1	1	0.752	0.952	0.911	0	0
EgrG_000157400	OTHER	_	1	1	XXX	1	1	0.921	0.858	0.690	0	0
EgrG_000804600	OTHER	S	1	1	XXX	0	1	0.318	0.531	0.351	0	0
EgrG_000183700	OTHER	_	1	1	XXX	1	1	0.994	0.932	0.984	0	0
EgrG_001136500	SP(Sec/SPI)	S	1	1	XXX	1	1	0.829	0.749	0.616	0	1
EgrG_002054900	OTHER	_	1	1	XXX	0	1	0.630	0.852	0.500	0	0
EgrG_000162400	OTHER	M	1	1	XXX	1	0	0.305	0.511	0.778	0	0
EgrG_000457400	OTHER	_	0	1	XXX	0	1	0.024	0.124	0.033	0	1
EgrG_000256900	OTHER	S	0	0	XXX	0	0	0.056	0.188	0.027	0	0
EgrG_002062500	OTHER	S	0	0	XXX	0	1	0.284	0.531	0.445	0	1
EgrG_001143600	OTHER	_	0	0	XXX	0	0	0.247	0.101	0.046	0	0
EgrG_000968000	SP(Sec/SPI)	S	1	1	XXX	0	0	0.311	0.464	0.416	0	1
EgrG_002038300	OTHER	_	0	1	XXX	0	1	0.355	0.290	0.265	1	0
EgrG_000516200	OTHER	M	0	0	XXX	0	0	0.319	0.588	0.399	0	0
EgrG_000201000	OTHER	_	0	0	XXX	0	0	0.069	0.574	0.065	0	0
EgrG_000710200	OTHER	_	0	0	XXX	0	0	0.035	0.087	0.033	0	0
EgrG_002042600	OTHER	_	0	0	XXX	0	0	0.007	0.141	0.010	0	0
EgrG_000263800	OTHER	_	0	1	XXX	0	0	0.191	0.307	0.239	0	0
EgrG_000786100	OTHER	S	0	1	XXX	0	0	0.393	0.500	0.203	0	0
EgrG_000414500	OTHER	M	0	0	XXX	0	0	0.243	0.669	0.230	0	0
EgrG_002002200	OTHER	_	1	1	XXX	1	0	0.207	0.400	0.436	0	0
EgrG_000945700	OTHER	_	1	0	XXX	1	0	0.873	0.632	0.630	0	0
EgrG_002016200	OTHER	M	1	1	XXX	1	1	0.904	0.897	0.814	0	0
EgrG_000915500	OTHER	_	0	0	XXX	0	0	0.039	0.165	0.024	0	0
EgrG_001030600	OTHER	_	0	0	XXX	0	0	0.004	0.022	0.010	0	0
EgrG_001192000	OTHER	M	1	1	XXX	1	1	0.778	0.884	0.912	0	0
EgrG_002061700	OTHER	_	0	1	XXX	0	1	0.045	0.112	0.019	0	0
EgrG_000607700	OTHER	_	0	0	XXX	0	0	0.037	0.157	0.068	0	0
EgrG_000247200	OTHER	M	0	0	XXX	0	0	0.081	0.113	0.052	0	0
EgrG_000292800	SP(Sec/SPI)	S	1	1	XXX	1	1	0.207	0.546	0.384	0	1
EgrG_001060400	OTHER	_	0	1	XXX	0	0	0.568	0.646	0.317	0	0
EgrG_000037800	OTHER	S	0	0	XXX	0	0	0.021	0.083	0.092	0	0
EgrG_002045400	OTHER	_	0	1	XXX	0	0	0.299	0.358	0.235	0	0
EgrG_001133000	OTHER	S	1	1	XXX	0	1	0.060	0.374	0.123	1	0
EgrG_002042300	OTHER	_	0	0	XXX	0	0	0.263	0.352	0.143	0	0
EgrG_001199200	OTHER	_	0	0	XXX	0	0	0.016	0.148	0.070	0	1
EgrG_002019100	OTHER	_	0	0	XXX	0	0	0.012	0.234	0.048	0	1
EgrG_001115600	OTHER	M	0	0	XXX	0	0	0.352	0.442	0.356	0	0
EgrG_002006800	OTHER	_	1	1	XXX	1	1	0.680	0.754	0.589	0	1
EgrG_000507500	OTHER	_	0	1	XXX	0	1	0.196	0.647	0.185	0	0
EgrG_002009000	OTHER	M	1	1	XXX	1	1	0.883	0.919	0.972	0	0
EgrG_002054600	OTHER	S	0	0	XXX	0	0	0.069	0.343	0.051	0	0
EgrG_000071300	OTHER	_	1	1	XXX	0	0	0.555	0.756	0.321	0	0
EgrG_000884400	OTHER	_	1	0	XXX	0	0	0.037	0.131	0.123	0	0
EgrG_000433300	OTHER	_	0	1	XXX	0	0	0.607	0.613	0.339	0	0
EgrG_000825300	OTHER	_	0	1	XXX	0	1	0.069	0.329	0.132	0	0
EgrG_000507200	OTHER	_	0	0	XXX	0	0	0.018	0.028	0.010	0	0
EgrG_000361100	OTHER	_	0	1	XXX	0	0	0.087	0.133	0.198	0	1
EgrG_000197800	OTHER	_	1	1	XXX	1	1	0.145	0.376	0.190	0	0
EgrG_000767300	OTHER	_	0	0	XXX	0	0	0.135	0.363	0.392	0	0
EgrG_000668700	OTHER	_	1	1	XXX	1	1	0.893	0.879	0.619	0	0
EgrG_000876400	OTHER	_	1	1	XXX	0	0	0.069	0.290	0.179	1	0
EgrG_000638900	OTHER	_	1	1	XXX	1	1	0.559	0.419	0.525	1	0
EgrG_002046700	OTHER	_	1	0	XXX	0	0	0.029	0.203	0.026	0	0
EgrG_000838600	SP(Sec/SPI)	S	1	0	XXX	0	1	0.111	0.521	0.180	0	0
EgrG_001041700	OTHER	_	0	0	XXX	0	0	0.112	0.268	0.115	0	0
EgrG_002025500	OTHER	_	0	0	XXX	0	0	0.098	0.311	0.048	0	0
EgrG_000381200	SP(Sec/SPI)	S	1	1	XXX	0	1	0.146	0.261	0.112	1	1
EgrG_000305700	OTHER	S	0	0	XXX	0	0	0.517	0.641	0.479	0	0
EgrG_000185400	SP(Sec/SPI)	S	0	1	XXX	0	0	0.012	0.142	0.022	0	0
EgrG_002010400	OTHER	_	0	0	XXX	0	0	0.197	0.440	0.044	0	0
EgrG_000209400	OTHER	_	1	1	XXX	0	1	0.817	0.882	0.651	0	0
EgrG_002051600	SP(Sec/SPI)	S	0	0	XXX	0	0	0.411	0.254	0.263	0	0
EgrG_000875200	OTHER	_	1	1	XXX	0	1	0.528	0.884	0.551	0	0
EgrG_000457300	OTHER	M	1	1	XXX	1	1	0.176	0.621	0.719	0	0
EgrG_000516000	OTHER	_	0	0	XXX	0	0	0.235	0.488	0.450	0	0
EgrG_000169900	OTHER	S	1	1	XXX	0	1	0.265	0.712	0.134	0	0
EgrG_000203500	OTHER	S	0	0	XXX	0	0	0.046	0.086	0.061	0	0
EgrG_000806000	OTHER	_	0	1	XXX	0	0	0.062	0.338	0.103	0	0
EgrG_000968900	OTHER	M	1	1	XXX	1	1	0.805	0.735	0.844	0	0
EgrG_000722100	OTHER	M	0	0	XXX	0	0	0.532	0.534	0.370	1	0
EgrG_002027400	OTHER	_	1	1	XXX	0	1	0.381	0.780	0.263	0	0
EgrG_000856700	OTHER	_	1	1	XXX	0	0	0.412	0.717	0.352	0	0
EgrG_000097100	OTHER	_	0	0	XXX	0	0	0.317	0.698	0.351	0	0
EgrG_000823900	OTHER	_	0	0	XXX	1	0	0.280	0.352	0.487	0	0
EgrG_000858700	OTHER	M	1	1	XXX	0	1	0.123	0.412	0.396	0	0
EgrG_002069900	OTHER	_	0	0	XXX	0	0	0.046	0.265	0.115	0	0
EgrG_000124400	OTHER	_	1	1	XXX	0	1	0.432	0.741	0.517	1	0
EgrG_000009300	OTHER	_	0	0	XXX	0	0	0.087	0.127	0.023	0	0
EgrG_000554700	OTHER	_	0	0	XXX	0	0	0.209	0.554	0.086	0	0
EgrG_000590100	OTHER	_	1	1	XXX	0	0	0.393	0.472	0.189	0	0
EgrG_002018200	OTHER	_	0	0	XXX	0	0	0.021	0.188	0.044	0	0
EgrG_000975300	OTHER	M	1	1	XXX	0	1	0.056	0.322	0.198	0	0
EgrG_000121100	OTHER	_	1	0	XXX	0	0	0.031	0.113	0.054	0	0
EgrG_000103900	OTHER	_	0	1	XXX	0	0	0.017	0.206	0.036	0	0
EgrG_000838800	OTHER	_	1	1	XXX	1	1	0.923	0.942	0.960	0	0
EgrG_000842000	OTHER	_	0	0	XXX	1	0	0.545	0.747	0.460	0	0
EgrG_002026100	OTHER	_	1	1	XXX	1	1	0.961	0.792	0.834	0	0
EgrG_001072600	OTHER	_	0	0	XXX	0	0	0.095	0.165	0.011	0	0
EgrG_000798700	OTHER	S	1	1	XXX	0	1	0.500	0.526	0.517	0	0
EgrG_000607100	OTHER	_	0	0	XXX	0	0	0.093	0.237	0.024	0	0
EgrG_000822800	OTHER	S	1	1	XXX	1	1	0.761	0.912	0.632	1	1
EgrG_000549200	SP(Sec/SPI)	S	1	1	XXX	1	1	0.243	0.760	0.437	1	0
EgrG_001088100	OTHER	_	0	0	XXX	0	0	0.469	0.685	0.218	0	0
EgrG_000869900	OTHER	M	0	0	XXX	0	0	0.018	0.040	0.040	0	0
EgrG_000567600	OTHER	M	1	1	XXX	1	1	0.343	0.556	0.401	0	0
EgrG_000052400	OTHER	S	0	0	XXX	0	0	0.130	0.580	0.237	0	0
EgrG_000209300	OTHER	_	0	0	XXX	1	0	0.607	0.562	0.832	1	0
EgrG_000770000	OTHER	M	1	1	XXX	0	1	0.054	0.425	0.063	1	0
EgrG_000395400	OTHER	_	1	1	XXX	0	1	0.082	0.467	0.258	0	0
EgrG_000625800	OTHER	M	1	1	XXX	0	0	0.043	0.284	0.038	0	0
EgrG_000825600	OTHER	_	0	0	XXX	0	0	0.055	0.401	0.066	0	0
EgrG_001042200	OTHER	_	0	0	XXX	0	0	0.402	0.667	0.240	1	0
EgrG_000308800	OTHER	_	0	0	XXX	0	0	0.027	0.138	0.037	0	0
EgrG_000911100	OTHER	M	0	0	XXX	0	0	0.546	0.549	0.214	0	0
EgrG_000322400	OTHER	_	1	1	XXX	0	0	0.973	0.915	0.954	0	0
EgrG_000446100	OTHER	_	1	1	XXX	0	1	0.634	0.655	0.404	0	0
EgrG_002018800	OTHER	_	0	0	XXX	0	0	0.329	0.577	0.582	0	0
EgrG_002025900	OTHER	M	0	1	XXX	1	0	0.763	0.623	0.642	0	0
EgrG_000847900	OTHER	S	1	1	XXX	1	0	0.680	0.759	0.809	0	0
EgrG_000185700	SP(Sec/SPI)	S	1	1	XXX	0	1	0.048	0.201	0.097	0	0
EgrG_001062900	OTHER	_	1	1	XXX	0	1	0.111	0.397	0.069	0	0
EgrG_001021900	OTHER	_	1	1	XXX	0	1	0.744	0.903	0.637	0	0
EgrG_000225000	OTHER	_	1	1	XXX	0	1	0.851	0.912	0.802	0	0
EgrG_000114300	OTHER	_	0	0	XXX	0	0	0.175	0.241	0.390	0	0
EgrG_000908700	OTHER	M	1	1	XXX	0	1	0.449	0.681	0.632	0	0
EgrG_001037100	OTHER	_	0	0	XXX	0	0	0.040	0.134	0.052	0	0
EgrG_002041400	OTHER	_	1	1	XXX	1	1	0.842	0.863	0.749	0	0
EgrG_000883400	OTHER	M	0	1	XXX	0	1	0.319	0.278	0.320	0	1
EgrG_000629700	OTHER	_	0	0	XXX	0	0	0.828	0.413	0.849	0	0
EgrG_000938900	OTHER	_	0	0	XXX	0	0	0.074	0.347	0.178	0	0
EgrG_001063700	OTHER	M	1	1	XXX	0	1	0.815	0.894	0.914	1	0
EgrG_001102800	OTHER	_	0	0	XXX	0	0	0.570	0.337	0.423	0	0
EgrG_000490000	OTHER	_	0	0	XXX	1	0	0.642	0.387	0.685	1	0
EgrG_000595900	OTHER	_	1	0	XXX	1	0	0.337	0.212	0.233	0	0
EgrG_000349300	OTHER	_	1	1	XXX	0	1	0.938	0.855	0.947	0	0
EgrG_000662400	OTHER	_	1	1	XXX	0	1	0.403	0.798	0.632	0	0
EgrG_000784950	OTHER	S	0	0	XXX	0	0	0.031	0.070	0.074	0	0
EgrG_001116200	OTHER	S	0	0	XXX	0	0	0.018	0.066	0.012	0	0
EgrG_000718500	OTHER	M	1	1	XXX	0	1	0.412	0.705	0.644	0	0
EgrG_000891500	OTHER	_	0	1	XXX	0	1	0.181	0.513	0.335	0	0
EgrG_001054700	OTHER	M	0	0	XXX	1	0	0.639	0.626	0.770	1	0
EgrG_000803200	OTHER	_	0	0	XXX	0	0	0.646	0.553	0.647	0	0
EgrG_000401700	OTHER	_	0	0	XXX	0	0	0.028	0.270	0.009	0	0
EgrG_000056600	OTHER	_	0	0	XXX	0	0	0.000	0.032	0.000	0	0
EgrG_000538800	OTHER	_	0	0	XXX	0	0	0.469	0.562	0.585	0	0
EgrG_000064900	OTHER	_	0	1	XXX	0	0	0.007	0.140	0.035	0	0
EgrG_000913500	OTHER	_	1	1	XXX	1	1	0.419	0.222	0.548	0	0
EgrG_000742900	SP(Sec/SPI)	S	0	0	XXX	0	0	0.073	0.040	0.019	0	1
EgrG_000632000	OTHER	_	1	0	XXX	0	0	0.033	0.049	0.094	0	0
EgrG_000930100	OTHER	_	1	1	XXX	0	1	0.057	0.206	0.143	0	0
EgrG_000308300	OTHER	_	1	1	XXX	0	0	0.549	0.734	0.678	1	0
EgrG_001049220	OTHER	_	0	0	XXX	1	0	0.777	0.632	0.466	0	0
EgrG_001125500	OTHER	_	0	0	XXX	0	0	0.000	0.017	0.004	0	0
EgrG_000525400	SP(Sec/SPI)	S	1	1	XXX	1	1	0.281	0.654	0.395	1	0
EgrG_000320400	OTHER	_	1	1	XXX	0	0	0.869	0.684	0.677	0	0
EgrG_000937900	SP(Sec/SPI)	S	0	0	XXX	0	0	0.043	0.216	0.079	0	1
EgrG_002019500	OTHER	_	0	0	XXX	0	0	0.243	0.207	0.130	0	0
EgrG_002042700	OTHER	_	0	1	XXX	0	1	0.037	0.521	0.042	0	0
EgrG_000999200	OTHER	_	0	0	XXX	0	0	0.103	0.080	0.141	0	0
EgrG_000540700	OTHER	M	0	0	XXX	0	0	0.078	0.308	0.250	0	0
EgrG_000254500	OTHER	_	0	0	XXX	0	0	0.236	0.451	0.293	0	0
EgrG_001110300	OTHER	_	0	1	XXX	0	0	0.145	0.547	0.128	0	0
EgrG_000452900	OTHER	_	0	1	XXX	0	1	0.336	0.578	0.704	1	1
EgrG_000600000	OTHER	_	1	1	XXX	1	1	0.967	0.890	0.830	0	0
EgrG_000770400	OTHER	_	1	1	XXX	0	1	0.158	0.167	0.113	0	0
EgrG_000390300	OTHER	_	0	1	XXX	0	0	0.151	0.414	0.124	0	0
EgrG_002039900	OTHER	_	0	1	XXX	0	0	0.010	0.223	0.015	0	0
EgrG_001090600	OTHER	_	1	0	XXX	0	0	0.055	0.065	0.096	0	0
EgrG_001179700	OTHER	S	0	0	XXX	0	0	0.229	0.279	0.053	0	0
EgrG_000296100	OTHER	M	1	1	XXX	0	1	0.052	0.283	0.090	1	0
EgrG_001038200	OTHER	_	1	1	XXX	0	1	0.600	0.800	0.400	0	0
EgrG_000074600	OTHER	_	1	1	XXX	0	1	0.445	0.723	0.735	0	0
EgrG_000164600	OTHER	_	0	1	XXX	0	0	0.065	0.347	0.038	0	0
EgrG_000535600	OTHER	_	0	0	XXX	0	0	0.869	0.704	0.826	0	0
EgrG_001030700	OTHER	_	0	1	XXX	0	0	0.055	0.384	0.029	0	0
EgrG_000179900	SP(Sec/SPI)	S	1	1	XXX	0	1	0.092	0.250	0.074	0	1
EgrG_000798400	OTHER	M	0	0	XXX	0	0	0.060	0.432	0.086	1	0
EgrG_002034200	OTHER	M	0	1	XXX	0	0	0.297	0.672	0.660	0	0
EgrG_000354300	SP(Sec/SPI)	S	1	1	XXX	1	0	0.586	0.730	0.794	0	0
EgrG_000624000	OTHER	M	1	1	XXX	1	1	0.824	0.912	0.948	0	0
EgrG_002000200	OTHER	M	0	0	XXX	0	0	0.066	0.274	0.214	0	1
EgrG_002014300	OTHER	_	0	1	XXX	0	0	0.177	0.458	0.081	0	1
EgrG_000948500	OTHER	_	0	0	XXX	0	0	0.014	0.052	0.022	0	0
EgrG_000322500	OTHER	M	0	1	XXX	0	1	0.164	0.261	0.158	0	0
EgrG_000180900	OTHER	_	0	1	XXX	0	1	0.615	0.753	0.627	0	0
EgrG_000465900	OTHER	_	0	0	XXX	0	0	0.103	0.521	0.043	0	0
EgrG_002000400	OTHER	_	0	0	XXX	0	0	0.059	0.021	0.066	0	0
EgrG_000946300	OTHER	_	1	1	XXX	1	0	0.446	0.622	0.762	0	0
EgrG_001171950	OTHER	_	0	1	XXX	0	0	0.199	0.705	0.115	0	0
EgrG_000890000	OTHER	M	1	1	XXX	1	1	0.617	0.827	0.881	0	0
EgrG_002071400	SP(Sec/SPI)	S	0	0	XXX	0	0	0.213	0.191	0.130	0	0
EgrG_000753800	OTHER	_	0	0	XXX	0	0	0.276	0.334	0.178	1	0
EgrG_001032700	OTHER	_	1	1	XXX	1	1	0.547	0.756	0.791	1	0
EgrG_000419800	OTHER	_	0	1	XXX	0	1	0.794	0.799	0.458	0	0
EgrG_000093500	OTHER	_	0	0	XXX	1	1	0.857	0.666	0.679	0	0
EgrG_000197900	OTHER	_	1	1	XXX	1	1	0.145	0.376	0.190	0	0
EgrG_000265100	OTHER	_	0	0	XXX	0	0	0.806	0.308	0.765	1	0
EgrG_002034800	OTHER	_	1	1	XXX	0	1	0.117	0.623	0.266	0	0
EgrG_000769200	OTHER	_	1	1	XXX	1	0	0.388	0.857	0.738	0	0
EgrG_002028400	OTHER	S	0	0	XXX	1	0	0.107	0.344	0.148	0	0
EgrG_000218000	SP(Sec/SPI)	S	1	1	XXX	0	1	0.028	0.184	0.086	0	0
EgrG_001022600	OTHER	_	0	0	XXX	0	0	0.298	0.461	0.237	0	0
EgrG_000142300	OTHER	_	0	0	XXX	0	0	0.170	0.202	0.152	0	0
EgrG_001140100	OTHER	_	1	1	XXX	0	1	0.082	0.433	0.239	1	0
EgrG_002042200	OTHER	S	0	0	XXX	0	0	0.159	0.659	0.088	0	0
EgrG_000866000	OTHER	_	1	0	XXX	0	0	0.321	0.748	0.147	0	0
EgrG_000676800	OTHER	_	0	0	XXX	0	0	0.251	0.322	0.552	0	0
